BN, Channel, INPUT (Vpp), DC Offset, VSHIFT code, Frequency, SNR, THD, SINAD, ENOB, SFDR, FLOOR
B_2_1Vpp,Ch_0,1,0,25206,1,51.98819296629216,-39.40708168124688,39.17376011848979,6.214910318686012,40.097167404590735,-79.08089257605047
B_2_1vpp_att,Ch_0,1,0,25206,1,26.51898560328791,-17.549085994230143,17.030740497560927,2.536667856737696,19.97086342893479,-53.611685213046215
B_2_fs,Ch_0,1,0,25206,1,13.33514460643643,-5.59172822629165,4.91679752398489,0.5243849707616097,7.580387778979642,-40.427844216194735
B_2_fs,Ch_0,1,0,25206,1,13.32874218714035,-5.6311139233436265,4.949562909465614,0.5298277258248529,7.682348302882962,-40.42144179689866
B_2_fs_nocap,Ch_0,1,0,25206,1,12.49644408440738,-7.169554706279632,6.052564200183199,0.7130505315918937,10.805844566269784,-39.589143694165685
B_2_fs_nocap,Ch_0,1,0,28231,1,59.35878904892676,-51.68394358636432,50.99907620229846,8.179248538587785,54.15249449897557,-86.45148865868507
B_2_att_nocap,Ch_0,1,0,28231,1,26.547971799427273,-12.802580918992753,12.623010107085562,1.8044867287517548,17.011695712974124,-53.64067140918558
B_2_att_nocap,Ch_0,1,0,28231,1,27.164095864086196,-13.866270279670893,13.667645841725216,1.9780142594227936,17.134171770260398,-54.256795473844505
B_2_att_nocap_no2.5k,Ch_0,1,0,28231,1,31.53600655490647,-18.164079614941812,17.968741011094426,2.6924818955306353,20.778873859984298,-58.62870616466478
B_2_withcap_1vpp,Ch_0,1,0,28231,1,56.92721495507623,-53.493890542575244,51.869458522261176,8.323830319312489,56.38127930983504,-84.01991456483455
B_2_withcap_1vpp_connpos1,Ch_0,1,0,28231,1,59.76539746849997,-48.80299688050145,48.46826270868007,7.758847626026591,50.756865708018275,-86.85809707825827
B_b2_10Vpp,Ch_0,10,0,55454,1,311.98032447911055,0,311.99231338034707,51.53360687381181,341.28089360008124,-339.07302408886886
B_2,Ch_0,10,0,55454,1,311.98032447911055,0,311.99231338034707,51.53360687381181,341.28089360008124,-339.07302408886886
B_2,Ch_0,10,0,55454,1,311.98032447911055,0,311.99231338034707,51.53360687381181,341.28089360008124,-339.07302408886886
B_2_5vpp,Ch_0,10,0,55454,1,311.98032447911055,0,311.99231338034707,51.53360687381181,341.28089360008124,-339.07302408886886
B_2_1vpp,Ch_0,10,0,28231,1,58.47597611835552,-49.82180244721425,49.26676828158824,7.891489747772134,53.571933411474305,-85.56867572811383
B_2,Ch_1,10,0,28231,1,5.319929066022885,-1.1309814138121235,-0.2714527582142504,-0.3374506242880815,3.1933382792675307,-32.41262867578119
B_2,Ch_1,1,0,28231,1,59.269742290093326,-48.51632723936469,48.165740447075024,7.708594758650337,52.4215521161895,-86.36244189985163
B_2,Ch_2,1,0,28231,1,58.356400564659914,-50.401690264058566,49.75654602235949,7.972848176471676,54.27283368746606,-85.44910017441822
B_2,Ch_3,1,0,28231,1,56.20077284332987,-49.28836233758997,48.48357238926574,7.761390762336502,54.55008366439306,-83.29347245308819
B_2,Ch_0,10,0,55454,1,311.98032447911055,0,311.99231338034707,51.53360687381181,341.28089360008124,-339.07302408886886
B_1,Ch_0,10,0,55454,1,311.98032447911055,0,311.99231338034707,51.53360687381181,341.28089360008124,-339.07302408886886
B_2,Ch_0,1,0,28231,1,8.075143396122241,-7.876091894956691,4.964177390259279,0.5322553804417408,5.355361818722094,-35.16784300588055
B_2,Ch_0,1,0,28231,1,58.65367972805419,-46.90560520388141,46.6245144759464,7.452577155472825,49.51481117975192,-85.74637933781248
B_2_attenuated,Ch_0,1,0,28231,1,28.979530755868467,-16.791509611802184,16.536720730357825,2.454604772484689,18.848150986504486,-56.07223036562678
B_2_att_nocap,Ch_0,1,0,28231,1,10.486686548637536,-9.069947835464127,6.710501208840758,0.8223423934951426,10.872547840789954,-37.57938615839584
B_2,Ch_0,1,0,25206,1,28.71955611233599,-20.69553075908844,20.05988941430765,3.0398487399182144,23.778649484217986,-55.8122557220943
B_2,Ch_1,1,0,28231,1,25.01228859807359,-17.15360543151045,16.495078315438043,2.4476874278136287,20.209960364309296,-52.104988207831894
B_2,Ch_2,1,0,28231,1,26.589910485697633,-19.26320606013308,18.52577611911795,2.7850126443717524,21.88962215463503,-53.68261009545594
B_2,Ch_3,1,0,28231,1,-4.9964646978188245,-5.693746904349788,-5.351986156974181,-1.1813930493312594,4.677558435111806,-22.096234911939483
B_2,Ch_3,1,0,28231,1,27.273043607446784,-15.649113089839762,15.360136723165285,2.259158924113835,17.065503297133347,-54.36574321720509
B_2,Ch_0,1,0,25206,1,30.94823868921566,-15.220985841108213,15.106351509698595,2.217001911910066,19.072886232059876,-58.04093829897397
B_2,Ch_0,1,0,25206,1,26.999112304759723,-17.48144260844728,17.021385803455683,2.5351139208398146,20.17680734149183,-54.09181191451803
B_2,Ch_0,1,0,25206,1,33.78900692459971,-19.415282306739353,19.25947134437742,2.906888927637445,20.68793146515803,-60.881706534358024
B_2,Ch_0,1,0,25206,1,36.1068618009778,-19.06355457039338,18.978597639100784,2.8602321659635854,21.040525430588417,-63.19956141073611
B_2,Ch_0,1,0,25206,1,12.552063308385558,-7.444835663861014,6.277046366156425,0.750339927932961,11.59297933984588,-39.64476291814386
B_2,Ch_0,1,0,25206,1,33.31430452124625,-21.78344195092622,21.488414007577905,3.2771451839830408,24.44582272077872,-60.407004131004555
B_2,Ch_0,1,0,25206,1,8.740657771483741,-1.947626809560599,1.1224114481375047,-0.10591171957848759,3.325004191934803,-35.833357381242045
